draw_id,date,n1,n2,n3,n4,n5,n6,bonus
2190,2024-02-22,1,13,15,21,24,26,7
2191,2024-02-26,6,19,24,28,35,41,34
2192,2024-02-29,9,11,15,19,32,34,42
2193,2024-03-04,1,14,16,17,18,19,29
2194,2024-03-07,1,4,5,18,23,38,13
2195,2024-03-11,7,21,22,36,37,42,24
2196,2024-03-14,5,10,12,20,32,37,28
2197,2024-03-18,11,13,18,25,27,34,24
2198,2024-03-21,17,21,23,26,35,38,42
2199,2024-03-25,5,6,16,19,25,28,2
2200,2024-03-28,6,11,20,32,36,39,18
2201,2024-04-02,3,4,8,12,17,22,21
2202,2024-04-04,5,20,25,31,34,41,26
2203,2024-04-08,13,23,25,26,41,42,29
2204,2024-04-11,11,20,21,30,32,41,3
2205,2024-04-15,5,10,17,25,29,40,9
2206,2024-04-18,1,2,8,18,23,24,34
2207,2024-04-22,11,18,20,25,27,37,39
2208,2024-04-25,4,8,12,17,18,33,13
2209,2024-04-29,4,8,18,20,22,26,5
2210,2024-05-02,1,3,14,15,20,22,40
2211,2024-05-07,7,13,15,24,28,39,20
2212,2024-05-09,1,2,12,14,17,31,5
2213,2024-05-13,15,22,32,33,35,37,18
2214,2024-05-16,9,10,16,20,28,30,41
2215,2024-05-20,26,28,29,35,36,41,16
2216,2024-05-23,4,12,28,33,35,42,13
2217,2024-05-27,14,18,19,35,39,42,28
2218,2024-05-30,7,9,10,33,39,41,34
2219,2024-06-03,2,4,21,22,26,30,19
2220,2024-06-06,9,13,20,21,24,36,26
2221,2024-06-10,4,12,19,21,27,28,8
2222,2024-06-13,7,8,27,30,36,42,2
2223,2024-06-17,11,12,18,21,30,39,24
2224,2024-06-20,2,6,20,33,36,41,22
2225,2024-06-24,3,5,6,10,18,23,24
2226,2024-06-27,12,17,21,23,30,42,27
2227,2024-07-01,8,22,29,31,37,39,2
2228,2024-07-04,14,23,30,34,35,36,9
2229,2024-07-08,7,11,28,34,35,36,17
2230,2024-07-11,5,6,16,18,41,42,31
2231,2024-07-15,2,6,28,29,30,32,19
2232,2024-07-18,10,14,21,32,33,39,8
2233,2024-07-22,2,25,30,38,39,42,23
2234,2024-07-25,3,6,17,20,25,40,39
2235,2024-07-29,2,5,19,31,36,42,38
2236,2024-08-01,16,23,24,34,38,41,31
2237,2024-08-05,11,12,15,28,31,36,33
2238,2024-08-08,2,8,15,31,32,38,30
2239,2024-08-12,16,19,31,39,41,42,26
2240,2024-08-15,1,18,20,24,36,37,35
2241,2024-08-19,21,32,34,36,39,41,33
2242,2024-08-22,8,11,20,24,31,34,6
2243,2024-08-26,4,13,14,16,24,25,22
2244,2024-08-29,1,2,12,14,19,36,13
2245,2024-09-02,14,26,36,38,40,42,9
2246,2024-09-05,11,13,17,18,19,29,12
2247,2024-09-09,4,5,22,24,37,39,30
2248,2024-09-12,5,17,20,27,34,39,18
2249,2024-09-17,5,15,16,28,29,37,36
2250,2024-09-19,4,5,12,22,33,38,7
2251,2024-09-23,5,7,10,18,34,41,37
2252,2024-09-26,4,5,13,16,27,28,29
2253,2024-10-14,3,6,7,20,29,35,23
2254,2024-10-17,2,5,10,13,14,32,27
2255,2024-10-21,19,31,33,34,41,42,8
2256,2024-10-24,18,25,26,30,37,39,42
2257,2024-10-28,6,12,17,22,23,41,8
2258,2024-10-31,14,19,32,33,38,42,29
2259,2024-11-04,12,14,16,23,26,36,42
2260,2024-11-07,2,11,25,36,41,42,14
2261,2024-11-11,2,3,9,27,30,39,17
2262,2024-11-14,7,19,21,26,27,40,41
2263,2024-11-18,1,18,20,29,31,35,10
2264,2024-11-21,3,5,10,11,21,30,39
2265,2024-11-25,6,14,17,26,31,38,21
2266,2024-11-28,1,4,20,30,32,38,14
2267,2024-12-02,4,6,7,15,20,25,11
2268,2024-12-05,9,23,25,38,39,40,20
2269,2024-12-09,6,16,27,28,31,40,33
2270,2024-12-12,3,6,11,17,37,38,31
2271,2024-12-16,3,13,19,31,32,38,5
2272,2024-12-19,2,5,20,21,32,36,34
2273,2024-12-23,4,26,29,33,36,37,15
2274,2024-12-26,7,25,27,30,35,40,42
2275,2024-12-30,3,18,19,31,33,36,16
2276,2025-01-02,5,6,18,22,23,32,15
2277,2025-01-06,7,13,22,26,32,35,21
2278,2025-01-09,5,7,14,24,26,37,29
2279,2025-01-13,4,8,18,32,34,35,23
2280,2025-01-16,6,8,10,12,18,34,33
2281,2025-01-20,13,14,19,24,37,39,12
2282,2025-01-23,11,18,26,31,34,38,3
2283,2025-01-27,5,14,16,18,35,40,23
2284,2025-01-30,7,13,20,24,36,41,35
2285,2025-02-03,1,5,18,22,26,32,8
2286,2025-02-06,3,12,28,29,35,38,10
2287,2025-02-10,5,8,12,24,27,29,6
2288,2025-02-13,3,7,17,25,26,36,23
2289,2025-02-17,12,14,21,23,29,36,8
2290,2025-02-20,8,13,14,22,29,35,25
2291,2025-02-24,6,22,26,30,37,41,5
2292,2025-02-27,3,15,23,25,35,39,16
2293,2025-03-03,12,16,17,19,24,35,29
2294,2025-03-06,5,14,19,24,32,35,27
2295,2025-03-10,2,9,24,34,35,36,5
2296,2025-03-13,1,3,14,19,27,33,12
2297,2025-03-17,3,16,25,29,34,39,32
2298,2025-03-20,5,8,13,28,33,35,2
2299,2025-03-24,1,14,23,26,38,42,7
2300,2025-03-27,3,4,6,18,31,33,14
2301,2025-03-31,11,12,13,21,35,39,30
2302,2025-04-03,6,7,12,25,32,40,38
2303,2025-04-07,6,12,17,20,33,41,10
2304,2025-04-10,4,12,26,32,33,35,9
2305,2025-04-14,7,9,11,15,29,33,27
2306,2025-04-17,5,10,19,20,32,42,18
2307,2025-04-22,5,7,23,26,36,37,28
2308,2025-04-24,2,21,24,25,26,27,8
2309,2025-04-28,23,30,32,33,37,40,41
2310,2025-05-01,2,4,6,13,23,39,33
2311,2025-05-05,2,8,13,19,28,35,26
2312,2025-05-08,3,8,17,27,29,41,16
2313,2025-05-12,2,4,17,33,34,35,32
2314,2025-05-15,24,28,34,38,39,42,29
2315,2025-05-19,3,5,22,27,34,42,16
2316,2025-05-22,3,11,15,28,34,35,40
2317,2025-05-26,5,13,24,28,32,36,11
2318,2025-05-29,14,25,29,31,32,41,42
2319,2025-06-02,7,9,17,19,25,35,26
2320,2025-06-05,5,7,10,12,13,31,22
2321,2025-06-09,20,23,28,33,35,40,4
2322,2025-06-12,2,7,10,13,21,28,17
2323,2025-06-16,7,13,16,17,20,35,19
2324,2025-06-19,4,31,32,35,36,42,15
2325,2025-06-23,14,16,18,21,30,39,20
2326,2025-06-26,3,13,25,36,37,41,15
2327,2025-06-30,3,5,6,13,33,35,7
2328,2025-07-03,4,8,19,31,36,39,22
2329,2025-07-07,9,13,15,26,28,31,5
2330,2025-07-10,7,14,16,30,31,32,1
2331,2025-07-14,1,8,16,36,37,40,4
2332,2025-07-17,12,16,19,29,30,38,41
2333,2025-07-21,4,16,30,32,41,42,2
2334,2025-07-24,3,7,19,20,23,37,11
2335,2025-07-28,3,9,20,25,33,35,27
2336,2025-07-31,6,8,10,12,27,40,1
2337,2025-08-04,6,12,15,16,26,33,41
2338,2025-08-07,1,4,7,12,16,22,10
2339,2025-08-11,5,16,24,29,32,41,12
2340,2025-08-14,5,13,17,19,23,25,15
2341,2025-08-18,10,30,36,37,39,41,8
2342,2025-08-21,1,10,21,26,37,40,29
2343,2025-08-25,1,12,18,20,22,41,38
2344,2025-08-28,4,7,10,16,36,39,28
2345,2025-09-01,5,7,15,17,35,38,34
2346,2025-09-04,1,6,8,30,40,42,17
2347,2025-09-08,17,20,22,35,36,41,42
2348,2025-09-11,3,7,13,16,30,34,25
2349,2025-09-15,2,4,8,12,17,28,24
2350,2025-09-18,13,14,15,28,36,41,22
2351,2025-09-22,7,10,17,24,26,31,33
2352,2025-09-25,12,15,17,27,31,32,39
2353,2025-09-29,3,4,15,25,28,37,12
2354,2025-10-02,3,10,25,31,37,42,16
2355,2025-10-06,17,24,25,30,34,39,38
2356,2025-10-09,2,3,16,19,37,38,22
2357,2025-10-13,4,6,7,10,20,35,24
2358,2025-10-16,1,7,22,29,35,39,13
2359,2025-10-20,4,12,29,30,31,41,33
2360,2025-10-23,11,22,26,28,35,40,27
2361,2025-10-27,4,13,25,26,33,35,32
2362,2025-10-30,10,16,17,20,27,41,3
2363,2025-11-03,1,5,15,20,23,32,18
2364,2025-11-06,6,8,20,25,34,41,32
2365,2025-11-10,6,9,14,22,31,40,17
2366,2025-11-13,8,17,18,30,39,42,19
2367,2025-11-17,10,12,18,23,24,35,41
2368,2025-11-20,3,12,24,30,33,40,4
2369,2025-11-24,8,17,21,29,30,38,33
2370,2025-11-27,1,4,16,20,34,35,33
2371,2025-12-01,6,12,16,17,22,39,29
2372,2025-12-04,1,2,7,13,24,29,11
2373,2025-12-08,5,13,18,19,36,39,32
2374,2025-12-11,9,11,12,14,22,40,15
2375,2025-12-15,16,18,30,31,32,35,2
2376,2025-12-18,26,27,28,38,39,40,20
2377,2025-12-22,6,9,14,17,34,35,21
2378,2025-12-25,2,5,21,27,38,40,20
2379,2025-12-29,11,17,18,19,29,32,20
2380,2026-01-01,5,7,11,16,26,40,37
2381,2026-01-05,2,9,26,33,36,41,7
2382,2026-01-08,15,17,19,24,28,33,37
2383,2026-01-12,9,10,11,19,31,33,24
2384,2026-01-15,1,20,27,29,31,37,4
2385,2026-01-19,10,20,21,23,24,37,25
2386,2026-01-22,4,17,20,22,39,41,33
2387,2026-01-26,4,24,25,32,34,40,6
2388,2026-01-29,4,11,19,21,29,30,33
2389,2026-02-02,4,11,19,21,29,30,33
